General Physics II
Dang Thanh Dang
50
4
MON,S1
1,22132001,9,8.7,8.6,9.3
2,22132002,9.6,9.9,7.2,9.7
3,22132003,8.1,9,8.7,7.8
4,22132004,10,7.6,8.3,9
5,22132005,7.8,10,7.9,8.7
6,22132006,8.7,9.2,8.6,8.1
7,22132007,7.9,8.3,9.5,8
8,22132008,7.8,9.3,8.9,7.2
9,22132009,8.1,8.9,7.1,10
10,22132010,8.7,7.8,8.6,8.2
11,22132011,9.9,7.3,8.2,8.4
12,22132012,8.2,9.8,8.4,8.3
13,22132013,8.1,9.2,8.6,8.1
14,22132014,7.3,9.2,8.5,9.2
15,22132015,8.4,9.8,7.4,7.1
16,22132016,9.9,7.9,7.5,8.4
17,22132017,7.9,8.8,7.4,8.7
18,22132018,9,9.4,8.1,9.7
19,22132019,7.2,8.5,8.5,8.5
20,22132020,7.2,7.8,8,8.9
21,22132021,7.1,8.1,9.7,7.4
22,22132022,9.9,7.7,8.6,7.4
23,22132023,8.4,8.8,9,7.4
24,22132024,9.5,9.6,7.2,9.1
25,22132025,7.5,8.8,8.9,7.9
26,22132026,7.2,9.4,9.7,9.5
27,22132027,8.9,9.1,8.9,8.4
28,22132028,7.6,10,7.7,8.6
29,22132029,8.3,9.3,7.7,8.1
30,22132030,9.4,8.4,7.5,7.4
31,22132031,7.4,8.4,8.8,7
32,22132032,7.9,8.3,8.3,8.8
33,22132033,8.8,7.1,8.7,8.5
34,22132034,7.9,8.2,10,9.2
35,22132035,7.6,9.3,9.1,9.6
36,22132036,8.2,8.2,7.6,8.8
37,22132037,9,9.8,9.1,7.4
38,22132038,9.2,8.2,9.3,7.8
39,22132039,7.1,9.4,8.4,8.1
40,22132040,7.4,9.9,7.2,7.4
