Calculus II
Nguyen Van Tin
50
4
SAT,S4
1,22110001,9.6,7.1,7.8,8.2
2,22110002,9.9,7,9,7
3,22110003,9.4,7.5,10,9.7
4,22110004,8.1,7.3,7.8,8.8
5,22110005,8.3,8.1,7.3,8.7
6,22110006,8.9,9.5,9.7,9.6
7,22110007,9.5,10,9,7.6
8,22110008,9.6,8.3,7.6,9.4
9,22110009,7.5,9.1,9,8.5
10,22110010,7.8,7.3,8.3,9.2
11,22110011,9.9,9.7,7.4,7.3
12,22110012,7.4,7.7,8,9.8
13,22110013,9.7,10,8.3,7.8
14,22110014,8.5,9.3,9.8,8.2
15,22110015,8.4,9.6,8,9.8
16,22110016,7.7,9.6,9.5,7.1
17,22110017,9.6,8.5,8.5,7.4
18,22110018,9,8.4,7.9,8.5
19,22110019,10,9.3,7.1,7.5
20,22110020,7.7,7.9,9.3,8.3
21,22110021,8.8,7.7,7.7,9.3
22,22110022,8.7,8.5,7.2,7.1
23,22110023,8.7,7.8,7.5,8.2
24,22110024,8.3,9.7,8,7.6
25,22110025,7.7,9.7,9.1,7.5
26,22110026,7.3,7.4,7.9,8.1
27,22110027,9.6,7.9,8.8,9.4
28,22110028,8.6,10,9.3,10
29,22110029,8.3,7,8.7,7.3
30,22110030,9.3,8.8,9.7,8.5
31,22110031,7.5,8.8,8.8,8.4
32,22110032,9,8,9.3,7.9
33,22110033,8.9,10,8.2,7
34,22110034,8.1,7.8,8.3,9.5
35,22110035,8.9,8.4,9.8,8.7
36,22110036,8.6,7,8.1,8.8
37,22110037,7.9,8.5,9.5,7.9
38,22110038,8.9,9.1,9.1,9.4
39,22110039,8.1,8.5,8.9,8.7
40,22110040,8.9,9.8,7.4,8.5
