Introduction to Computer Science II
Nguyen Ngoc Minh
50
4
TUE,S2
1,22034001,9.2,7.1,7.5,9.5
2,22034002,8.6,7.4,9.5,7.4
3,22034003,9.6,7.8,8.9,8.1
4,22034004,9.9,8.4,8.4,9.5
5,22034005,8.8,9.8,8.9,9.8
6,22034006,9.9,8.9,9.5,8.9
7,22034007,8.1,8,8.7,7.7
8,22034008,9.2,7.6,7.6,7.2
9,22034009,8.3,9.8,9.4,8.9
10,22034010,10,10,7.9,8.8
11,22034011,7,9,9.5,8.5
12,22034012,8.5,8.8,8.1,9.5
13,22034013,7.3,10,7.8,9.8
14,22034014,9.4,8,9.3,9
15,22034015,9.6,8.7,10,8.6
16,22034016,7.6,7.6,7.4,9.6
17,22034017,8.5,7.9,8,7.5
18,22034018,7,9.1,8.2,7.1
19,22034019,7.1,8.3,9.2,8
20,22034020,8.6,7.9,9.9,9.2
21,22034021,8.8,9.3,9.7,9.6
22,22034022,8.1,8.6,7.1,9.1
23,22034023,9.9,7.3,9.5,8.3
24,22034024,7,8.5,8,7.3
25,22034025,8.5,9.2,8.5,7.1
26,22034026,8.1,8.1,8,7.9
27,22034027,7,9.6,8.9,7.7
28,22034028,8,7.3,7.8,9.3
29,22034029,9,8.6,9.3,7.3
30,22034030,9.2,8,9.6,8.8
31,22034031,7.7,8.7,9,9.3
32,22034032,7.6,7.2,7.7,9.2
33,22034033,7.2,7.7,7.6,8.2
34,22034034,8.1,10,7.5,8
35,22034035,7,9.3,7.6,7.8
36,22034036,9.5,8.2,7.8,8.2
37,22034037,7.7,7.5,8.8,9.5
38,22034038,8.8,9.3,7.5,8.7
39,22034039,8.3,7,7.8,9.8
40,22034040,8.8,9.7,7.7,9.5
