Calculus II
Le Van Tin
50
4
TUE,S4
1,22082001,9.4,9.3,8.6,8.7
2,22082002,9.4,9.3,10,7.4
3,22082003,8.1,7.3,8.9,7.1
4,22082004,9,9.5,10,7.7
5,22082005,9.3,8.3,9.6,9.3
6,22082006,8.9,7,9.4,8.3
7,22082007,7,8.7,7.9,7.6
8,22082008,8.5,7.5,8.1,7.9
9,22082009,8,8,10,7.2
10,22082010,9.4,8.7,8.6,7.3
11,22082011,9.8,8.3,7.5,8.7
12,22082012,7.7,8,8,8.4
13,22082013,7,8.7,9,7.5
14,22082014,7,7.3,9.5,9.5
15,22082015,7.8,8.1,8.2,8
16,22082016,8.4,8.6,9.9,8.9
17,22082017,7.3,9,9.9,8.5
18,22082018,8.7,7.3,8,9.3
19,22082019,9.9,9.2,8.6,9
20,22082020,9.6,10,8.7,7
21,22082021,7.1,9.6,8.5,7.1
22,22082022,7.5,7.4,7.4,7.2
23,22082023,7.6,9.5,9.3,9.5
24,22082024,7.1,8.3,9.8,9.6
25,22082025,8.4,9.5,8.5,9.5
26,22082026,8.3,9.4,8.8,9.8
27,22082027,7.6,10,9.8,9.9
28,22082028,7.7,9.3,7.5,9.7
29,22082029,7.7,8.4,7,8.9
30,22082030,8.9,9.9,9,8.6
31,22082031,9.9,8.8,9.2,9.5
32,22082032,9.2,9,7.2,7.2
33,22082033,9.3,7.5,9.8,8.8
34,22082034,7.3,9.2,7.1,8.2
35,22082035,8.2,8.3,9.3,8
36,22082036,8.8,7.9,7.5,7.2
37,22082037,9.6,9.6,7.3,9.4
38,22082038,7.7,9.9,7.2,8.6
39,22082039,9,8.9,9.4,7.5
40,22082040,8.2,9.6,9.4,7.5
